State,City,Location,Station Code,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,582,RIRuO,NA,103,24,52,40,35,45,4,0,Moderate
Andhra Pradesh,Guntur,"Near Hindu College, Market Road",583,RIRuO,NA,105,71,79,75,2,73,77,0,High
Andhra Pradesh,Hydrabad,"Tarnaka, NEERI Lab. IICT Campus",150,RIRuO,NA,88,8,70,26,17,35,10,0,Low
Andhra Pradesh,Hydrabad,"Nacharam, Industrial Estate",151,RIRuO,NA,87,12,100,30,19,42,15,0,Low
Andhra Pradesh,Hydrabad,ABIDS Circle General Post Office,152,RIRuO,NA,88,12,58,27,17,43,10,0,Low
Andhra Pradesh,Hydrabad,Balanagar,95,RIRuO,NA,108,42,286,128,72,189,46,69,Critical
Andhra Pradesh,Hydrabad,"Uppal, Modern Foods & Industries IDA",203,RIRuO,NA,108,30,241,120,58,197,53,59,Critical
Andhra Pradesh,Hydrabad,Jublee Hills,365,RIRuO,NA,109,19,240,85,40,124,38,30,High
Andhra Pradesh,Hydrabad,Paradise,393,RIRuO,NA,107,27,240,98,65,139,33,36,Critical
Andhra Pradesh,Hydrabad,Charminar,394,RIRuO,NA,106,35,233,106,64,150,37,54,Critical
Andhra Pradesh,Hydrabad,Zoo Park,470,RIRuO,NA,108,13,175,75,31,122,35,25,High
Andhra Pradesh,Hydrabad,"Jeedimetla Industrial Estate, Rangareddy Distt.",745,RIRuO,NA,95,33,215,98,57,143,36,43,Critical
Andhra Pradesh,Kakinada,Office Building Ramanayyapeta,578,RIRuO,NA,Null,45,70,58,53,62,4,0,Moderate
Andhra Pradesh,Kothagudem,"CER Club, Khamam",581,RIRuO,NA,90,53,81,63,57,70,6,0,High
Andhra Pradesh,Kurnool,Mourya Inn,466,RIRuO,NA,102,44,100,74,56,88,12,0,High
Andhra Pradesh,Nalgonda,AP PCB Nalgonda,577,RIRuO,NA,108,47,145,79,63,97,16,6,High
Andhra Pradesh,Nellore,"Venkatareddy nagar, Vedayapalem",580,RIRuO,NA,102,45,78,62,54,72,7,0,High
Andhra Pradesh,Patencheru,"Police Station, Medak, Ramachadrapuram",468,RIRuO,NA,108,74,153,108,89,127,16,67,Critical
Andhra Pradesh,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",465,RIRuO,NA,81,15,200,82,30,128,40,29,High
Andhra Pradesh,Tirupati,"Regional Science Centre, Chittoor Bypass",389,RIRuO,NA,103,25,45,37,33,42,3,0,Moderate
Andhra Pradesh,Vijaywada,Benz Circle,462,RIRuO,NA,115,66,116,95,86,106,9,30,Critical
Andhra Pradesh,Vijaywada,Autonagar,469,RIRuO,NA,106,61,128,99,89,109,10,52,Critical
Andhra Pradesh,Warangal,"KUDA Office, Hanumakonda",579,RIRuO,NA,101,13,141,49,21,72,22,1,Moderate
Andhra Pradesh,Vishakhapatnam,"Panchayat Raj office, Mindi",234,RIRuO,NA,107,11,222,57,24,116,39,12,Moderate
Andhra Pradesh,Vishakhapatnam,"Industrial Estate, Marripalem",233,RIRuO,NA,107,16,164,62,25,111,33,14,High
Andhra Pradesh,Vishakhapatnam,Police Barracks,371,RIRuO,NA,108,19,285,104,50,175,52,39,Critical
Andhra Pradesh,Vishakhapatnam,"INS-Virabahu, Naval Area",387,RIRuO,NA,108,13,170,51,21,90,30,6,Moderate
Andhra Pradesh,Vishakhapatnam,Seethammadhara,388,RIRuO,NA,108,16,147,58,33,90,26,8,Moderate
Andhra Pradesh,Vishakhapatnam,Ganapuram Area,467,RIRuO,NA,108,21,303,96,52,145,41,34,Critical
Andhra Pradesh,Vishakhapatnam,"Pedagantyada, Gajuwada",584,RIRuO,NA,108,15,204,61,27,95,32,9,High
Andhra Pradesh,Vishakhapatnam,"CWMP, RAMKY, Parawada",585,RIRuO,NA,98,7,84,30,14,50,16,0,Low
Assam,Bongaigaon,"Oil India Ltd. PS-6, Chirang",542,RIRuO,NA,103,24,64,46,36,56,8,0,Moderate
Assam,Bongaigaon,Barpara Office Building,520,RIRuO,NA,100,20,68,45,33,59,10,0,Moderate
Assam,Daranga,"BATAD, Baska",566,RIRuO,NA,80,17,207,56,22,89,35,9,Moderate
Assam,Dibrugarh,Dibrugarh Office Building,538,RIRuO,NA,102,12,174,56,21,108,35,14,Moderate
Assam,Golaghat,Golaghat Office Building,539,ES,Numaligarh,93,12,148,55,20,105,34,13,Moderate
Assam,Guwahati,"Head Office, Bamunimaidam",193,RIRuO,NA,260,28,396,106,45,197,61,43,Critical
Assam,Guwahati,"Boragaon, IASST, Kamrup",603,RIRuO,NA,103,16,184,69,26,134,42,24,High
Assam,Guwahati,"Guwahati University, Kamrup",602,RIRuO,NA,124,17,335,84,28,150,54,31,High
Assam,Guwahati,"ITI Building, Gopinath Nagar",519,RIRuO,NA,263,17,347,104,32,193,67,44,Critical
Assam,Guwahati,"Khanapara, Central Dairy, Kamrup",596,RIRuO,NA,246,16,354,94,27,185,65,40,Critical
Assam,Guwahati,"Near Pragjyotish College, Santipur",541,RIRuO,NA,259,17,307,94,32,170,59,38,Critical
Assam,Margherita,Coal India Office,586,RIRuO,NA,96,16,181,54,23,96,35,8,Moderate
Assam,Lakhimpur,"Bazar Patti, North Lakhimpur Town",587,RIRuO,NA,103,12,185,45,72,26,143,23,Moderate
Assam,Nagaon,"Water Resources Div., Christian Patty",595,RIRuO,NA,94,20,229,79,26,156,53,29,High
Assam,Nalbari,PWD Rural Div Office Complex,597,RIRuO,NA,104,22,230,82,31,162,51,32,High
Assam,Sibsagar,Sibasagar Office Building,537,RIRuO,NA,103,37,287,115,59,191,53,53,Critical
Assam,Sibsagar,"Usha Lodge, near ONGCL Colony",604,RIRuO,NA,101,22,300,103,62,45,174,41,Critical
Assam,Silchar,Janiganj Govt. Boys HS School campus,607,RIRuO,NA,94,21,400,99,33,176,79,34,Critical
Assam,Silchar,"RLO, Ithkola Market, Ghaniwala Road",567,RIRuO,NA,91,21,260,82,42,124,44,23,High
Assam,Tezpur,Tezpur Office Building,536,RIRuO,NA,102,47,203,11,69,23,143,25,Low
Assam,Tinsukia,"Digboi Carbon factory Campus, Borguri",594,RIRuO,NA,97,18,172,60,26,118,37,19,Moderate
Assam,Tinsukia,"Shreepuria, Borguri",605,RIRuO,NA,95,18,173,53,23,109,36,15,Moderate
Bihar,Patna,"Beltron Bhawan, Shastri Nagar",210,RIRuO,NA,108,16,362,137,47,225,68,68,Critical
Bihar,Patna,Gandhi Maidan Test Centre,284,RIRuO,NA,83,34,549,196,82,334,106,81,Critical
Chandigarh,Chandigarh,"Modern Foods, Industrial Area",106,RIRuO,NA,93,45,379,133,74,202,57,70,Critical
Chandigarh,Chandigarh,Sector-17 C,263,RIRuO,NA,106,21,339,101,45,165,52,44,Critical
Chandigarh,Chandigarh,"Punjab Engineering College, Sector- 12",264,RIRuO,NA,104,25,258,96,46,151,45,42,Critical
Chandigarh,Chandigarh,"Sector-39, IMTECH",463,RIRuO,NA,102,13,343,103,47,164,52,46,Critical
Chandigarh,Chandigarh,Kaimbwala Village,464,RIRuO,NA,98,28,250,118,49,195,55,58,Critical
Chattisgarh,Bhillai,"Visak Hostel, Sector-4",65,RIRuO,NA,88,61,102,88,81,94,6,2,High
Chattisgarh,Bhillai,"R.O., 5/32 Banglow Office Building",67,RIRuO,NA,90,53,88,68,58,76,7,0,High
Chattisgarh,Bhillai,M.P. Laghu Udyog Nigam,245,RIRuO,NA,92,79,191,153,133,169,23,91,Critical
Chattisgarh,Bilaspur,"Regional Office, CECB Vyapar Vihar",669,RIRuO,NA,71,Null,Null,Null,Null,Null,Null,Null,Null
Chattisgarh,Korba,"HIG 21,22.Near Ghantaghar, MP Extension",364,RIRuO,NA,87,82,90,85,82,87,2,0,Null
Chattisgarh,Korba,"Pragati Nagar NTPC Colony, Jamnipali",249,RIRuO,NA,92,52,85,73,65,79,6,0,High
Chattisgarh,Korba,"I.T.I., Rampur",407,RIRuO,NA,85,64,99,84,77,93,6,0,High
Chattisgarh,Raipur,"New HIG-9, Hirapur",368,RIRuO,NA,16,261,306,280,267,296,14,100,Null
Chattisgarh,Raipur,"M/S Wool Worth India, Sarora",223,RIRuO,NA,62,219,388,317,252,370,45,100,Critical
Chattisgarh,Raipur,"Yatayat Thana, Jai Stambh Chowk",447,RIRuO,NA,19,142,244,208,187,229,22,100,Null
Dadra & Nagar Haveli,Silvassa,"Khadoli Industrial Area, Khadoli",558,RIRuO,NA,75,Null,Null,Null,Null,Null,Null,Null,Null
Daman & Diu,Daman,"Kadaiya Industrial Area, Kadaiya",560,RIRuO,NA,76,Null,Null,Null,Null,Null,Null,Null,Null
Delhi,Delhi,"N.Y. School, Sarojini Nagar, Delhi",144,RIRuO,NA,96,22,735,186,56,349,130,79,Critical
Delhi,Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",146,RIRuO,NA,96,49,589,256,94,437,129,89,Critical
Delhi,Delhi,"Mayapuri Industrial Area, Delhi",345,RIRuO,NA,96,41,843,268,99,452,152,90,Critical
Delhi,Delhi,Pritampura,531,RIRuO,NA,77,62,697,206,98,330,117,90,Critical
Delhi,Delhi,Shahadra,58,RIRuO,NA,78,84,651,253,119,421,121,97,Critical
Delhi,Delhi,Shahzada Bagh,57,RIRuO,NA,77,65,713,243,106,370,118,92,Critical
Delhi,Delhi,Nizamuddin,55,RIRuO,NA,76,70,457,187,105,277,77,91,Critical
Delhi,Delhi,Janakpuri,59,RIRuO,NA,68,65,579,246,126,376,104,96,Critical
Delhi,Delhi,Siri Fort,60,RIRuO,NA,78,77,529,291,169,424,99,99,Critical
Goa,Panaji,"Old GSPCB premises, Patto",327,RIRuO,NA,102,12,196,67,29,123,37,20,High
Goa,Marmagao,"Fire Brigade Station, Port Trust",435,RIRuO,NA,34,55,225,112,62,172,49,41,Null
Goa,Vasco,"Fuse Call Office, Mormugao",37,RIRuO,NA,34,46,165,84,55,131,32,26,Null
Goa,Curchorem,"Curchorem, Sanvordem, Quepem",628,RIRuO,NA,104,32,254,112,52,196,56,39,Critical
Goa,Codli,"Codli Tisk, Ponda",630,RIRuO,NA,105,29,263,121,51,233,75,43,Critical
